id,name,display_name,description,created_at,updated_at
1,permission.index,permission index,,2017-08-23 13:46:38,2017-08-24 04:36:54
2,permission.create,permission create,permission create,2017-08-28 09:09:20,2017-08-28 09:09:20
3,permission.store,permission store,permission store,2017-08-28 15:32:48,
4,permission.show,permission show,permission show,2017-08-28 09:47:46,2017-08-28 09:47:46
5,permission.update,permission update,permission.update,2017-08-28 09:48:06,2017-08-28 09:48:06
6,permission.destroy,permission destroy,,2017-08-28 09:48:12,2017-08-28 09:48:33
7,permission.edit,permission edit,,2017-08-28 09:48:22,2017-08-28 09:48:22
8,role.store,role store,role store,2017-08-28 09:48:48,2017-08-28 09:48:48
9,role.index,role Index,role index,2017-08-28 09:49:03,2017-08-28 09:49:03
10,role.competence,role competence,,2017-08-28 09:49:12,2017-08-28 09:49:12
11,role.create,role create,,2017-08-28 09:49:26,2017-08-28 09:49:26
12,role.update,role update,,2017-08-28 09:49:35,2017-08-28 09:49:35
13,role.destroy,role destroy,role.destroy,2017-08-28 09:49:46,2017-08-28 09:49:46
14,role.show,role show,,2017-08-28 09:49:55,2017-08-28 09:49:55
15,role.edit,role edit,role edit,2017-08-28 09:50:06,2017-08-28 09:50:06
16,user.index,user index,user index,2017-08-28 09:50:18,2017-08-28 09:50:18
17,user.store,user store,,2017-08-28 09:50:27,2017-08-28 09:50:27
18,user.create,user create,user create,2017-08-28 09:50:41,2017-08-28 09:50:41
19,user.userroles,user userroles,user userroles,2017-08-28 09:50:56,2017-08-28 09:50:56
20,user.update,user update,user update,2017-08-28 09:51:12,2017-08-28 09:51:12
21,user.destroy,user destroy,user destroy,2017-08-28 09:51:21,2017-08-28 09:51:21
22,user.show,user show,user show,2017-08-28 09:51:32,2017-08-28 09:51:32
23,user.edit,user edit,user edit,2017-08-28 09:51:47,2017-08-28 09:51:47
24,admin.dashboard,admin dashboard,admin.dashboard,2017-08-28 10:10:05,2017-08-28 10:10:05
25,user.status,Update user status,Update user status,2017-08-28 10:10:06,2017-08-28 10:10:06
26,page.index,Page index,Page index,2017-08-28 10:10:07,2017-08-28 10:10:07
27,page.edit,Page edit,Page edit,2017-08-28 10:10:08,2017-08-28 10:10:08
28,page.show,Page show,Page show,2017-08-28 10:10:09,2017-08-28 10:10:09
29,page.update,Page update,,2017-08-28 10:10:10,2017-08-28 10:10:10
30,page.destroy,Page destroy,Page destroy,2017-08-28 10:10:11,2017-08-28 10:10:11
31,page.create,Page create,Page create,2017-08-28 10:10:12,2017-08-28 10:10:12
32,page.store,Page store,Page store,2017-08-28 10:10:13,2017-08-28 10:10:13
33,theme.index,Theme index,Theme index,2017-08-28 10:10:14,2017-08-28 10:10:14
34,theme.edit,Theme edit,Theme edit,2017-08-28 10:10:15,2017-08-28 10:10:15
35,theme.update,Theme update,Theme update,2017-08-28 10:10:16,2017-08-28 10:10:16
36,module.index,Page index,Page index,2017-08-28 10:10:07,2017-08-28 10:10:07
37,module.edit,Page edit,Page edit,2017-08-28 10:10:08,2017-08-28 10:10:08
38,module.show,Page show,Page show,2017-08-28 10:10:09,2017-08-28 10:10:09
39,module.update,Page update,,2017-08-28 10:10:10,2017-08-28 10:10:10
40,module.destroy,Page destroy,Page destroy,2017-08-28 10:10:11,2017-08-28 10:10:11
41,module.create,Page create,Page create,2017-08-28 10:10:12,2017-08-28 10:10:12
42,module.store,Page store,Page store,2017-08-28 10:10:13,2017-08-28 10:10:13
43,module.status,Module status,Module status,2017-08-28 10:10:14,2017-08-28 10:10:14
44,cache.management,Cache management,Cache management,2017-08-28 10:10:15,2017-08-28 10:10:15
45,log.index,log index,log index,2017-08-28 10:10:15,2017-08-28 10:10:15
46,log.show,log show,log show,2017-08-28 10:10:15,2017-08-28 10:10:15
47,log.destroy,log destroy,log destroy,2017-08-28 10:10:15,2017-08-28 10:10:15
48,log.downloads,Download log,Download logs,2017-08-28 10:10:15,2017-08-28 10:10:15
49,slider.index,slider index,sliderinfo index,,
50,slider.edit,slider edit,sliderinfo edit,,
51,slider.show,slider show,sliderinfo show,,
52,slider.update,slider update,sliderinfo update,,
53,slider.destroy,slider destroy,sliderinfo destroy,,
54,slider.create,slider create,sliderinfo create,,
55,slider.store,slider store,sliderinfo store,,
56,slider.showconfiguredslider,Show Configured Slider,Show Configured Slider,2018-01-18 06:20:38,2018-01-18 06:20:38
57,slider.addconfiguredslider,Add Configured Slider,Add Configured Slider,2018-01-18 06:21:06,2018-01-18 06:21:06
58,slider.editconfiguredslider,Edit Configured Slider,Edit Configured Slider,2018-01-18 06:21:33,2018-01-18 06:21:33
59,slider.updateconfiguredslider,Update Configured Slider,Update Configured Slider,2018-01-18 06:22:03,2018-01-18 06:22:03
